0:0:0:0:0:0:0:1 - - [21/May/2023:19:56:16 +0300] "GET /SnakeJSP/ HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [21/May/2023:19:56:19 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:19:56:28 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:26:56 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:07 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:08 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:08 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:08 +0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:09 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:09 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:10 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /SnakeJSP/snake HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2023:20:31:11 +0300] "GET /apple-touch-icon.png HTTP/1.1" 404 771
